id;authors;title;language_code;average_rating;ratings_count;work_ratings_count;work_text_reviews_count
4059;Seth Godin;Purple Cow: Transform Your Business by Being Remarkable;eng;3.78;25230;26362;862
4060;Rick Yancey;The Last Star (The 5th Wave, #3);eng;3.64;30324;36016;5377
4061;Bryan Lee O'Malley, Steve Buccellato;Scott Pilgrim, Volume 4: Scott Pilgrim Gets It Together;;4.32;27532;28873;808
4062;Leon Uris;QB VII;eng;4.17;24396;25082;321
4063;Jim Butcher;The Aeronaut's Windlass (The Cinder Spires, #1);eng;4.18;20845;25887;3252
4064;Alan Moore, Eddie Campbell, Pete Mullins;From Hell;eng;4.16;23971;26658;1246
4065;Nora Roberts;Black Rose (In the Garden, #2);eng;4.03;29058;31458;728
4066;Lisa Gardner;The Perfect Husband (Quincy & Rainie, #1);eng;4.01;26578;29902;1209
4067;Katherine Neville;The Eight (The Eight #1);eng;3.92;22928;27460;2199
4068;Jean Webster;Daddy-Long-Legs (Daddy-Long-Legs, #1);eng;4.09;20889;28710;2796
4069;Edith Pattou;East;en-US;4.14;30596;32563;1966
4070;Anne McCaffrey;Dragonquest (Pern, #2);en-US;4.09;31971;34688;604
4071;Sigmund Freud, James Strachey, Peter Gay;Civilization and Its Discontents;en-US;3.76;21447;24217;700
4072;James Bowen;A Street Cat Named Bob: How One Man and His Cat Found Hope on the Streets;eng;3.96;17971;27131;3539
4073;J. Kenner;Complete Me (Stark Trilogy, #3);eng;4.23;32212;36155;1570
4074;Robin Hobb;Fool's Assassin (The Fitz and the Fool, #1);eng;4.35;15601;26014;2030
4075;Joss Whedon, John Cassaday;Astonishing X-Men, Volume 1: Gifted;eng;4.17;22373;22949;532
4076;Melissa Marr;Fragile Eternity (Wicked Lovely, #3);en-US;3.83;37303;38998;1839
4077;Kristen Ashley;The Gamble (Colorado Mountain, #1);en-GB;4.29;42242;45047;3132
4078;Clive Barker;The Great and Secret Show (Book of the Art #1);eng;4.05;23328;25025;546
4079;Bill Bryson;The Mother Tongue: English and How It Got That Way;en-US;3.95;24133;26951;1993
4080;Eric    Weiner;The Geography of Bliss: One Grump's Search for the Happiest Places in the World;en-US;3.83;23023;25025;3099
4081;Tom Wolfe;I am Charlotte Simmons;en-US;3.4;19293;21580;1891
4082;Elle Kennedy;The Mistake (Off-Campus, #2);eng;4.15;37148;43538;4083
4083;Susan Elizabeth Phillips;Match Me If You Can (Chicago Stars, #6);eng;4.13;33805;35692;1458
4084;Nora Roberts;Heaven and Earth (Three Sisters Island, #2);eng;4.13;28103;31458;788
4085;Dean Koontz;The Bad Place;en-US;3.86;26848;28135;571
4086;Tracy Brogan;Crazy Little Thing (Bell Harbor, #1);en-US;3.8;23854;24394;1875
4087;Meg Cabot;Avalon High;;3.8;37402;39658;2063
4088;Stephenie Meyer;The Twilight Saga: The Official Illustrated Guide (Twilight, #4.5);en-US;4.23;24065;25092;851
4089;Kristin Hannah;Summer Island;;3.97;22598;25494;1215
4090;Richard J. Foster;Celebration of Discipline: The Path to Spiritual Growth;en-US;4.18;23026;24048;696
4091;Muriel Spark;The Prime of Miss Jean Brodie;eng;3.76;26538;31014;1752
4092;Megan McCafferty;Sloppy Firsts (Jessica Darling, #1);eng;3.94;31757;32540;1822
4093;Matthew Quick;Forgive Me, Leonard Peacock;eng;3.93;27647;31077;4658
4094;Richard Peck;A Long Way from Chicago (A Long Way from Chicago, #1);eng;3.92;27642;28541;2041
4095;James Patterson;Cradle and All;eng;3.87;25426;27288;835
4096;Ben Mezrich;Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions;;3.87;16455;19852;1739
4097;Mariko Tamaki, Jillian Tamaki;This One Summer;eng;3.67;29592;31965;3529
4098;Jennifer Weiner;The Next Best Thing;;3.46;24098;25699;2539
4099;Nikki Sixx;The Heroin Diaries: A Year In The Life Of A Shattered Rock Star;en-GB;4.12;20531;22627;1551
4100;Paul Harding;Tinkers;eng;3.37;21665;25135;4305
4101;Terry Brooks;The Druid of Shannara (Heritage of Shannara, #2);eng;4.0;24815;26635;216
4102;Penelope Ward;Stepbrother Dearest;eng;4.14;34347;42254;4577
4103;Alan Lightman;Einstein's Dreams;eng;4.08;21241;24322;2520
4104;Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky;Demons;eng;4.26;20615;25745;956
4105;Sherrilyn Kenyon;Seize the Night (Dark-Hunter #6);eng;4.36;29053;39269;1209
4106;Fyodor Dostoyevsky, Christian Redl, Philip Dossick, Emanuela Guercetti, Michelle-IrÃ¨ne Brudny, Richard Pevear, Norman Dietz, Donald Fanger, coderati, Boris de SchlÅ“zer, Larissa Volokhonsky;Notes from Underground;eng;4.15;15297;33812;2285
4107;Andrew Williamson, Andrew Williamson;Harry Potter: A Pop-Up Book: Based on the Film Phenomenon;;4.55;22847;22846;37
4108;Isabel Allende, Margaret Sayers Peden;Portrait in Sepia;;3.93;21649;25203;1123
4109;Amy Harmon;Making Faces;eng;4.36;25941;42130;6337
4110;Vikas Swarup;Q & A;eng;3.98;13986;25955;2541
4111;Tana French;The Trespasser (Dublin Murder Squad #6);eng;3.98;18805;29204;3688
4112;Donald J. Sobol;Encyclopedia Brown, Boy Detective (Encyclopedia Brown, #1);eng;4.03;30283;31891;582
4113;C.J. Sansom;Dissolution (Matthew Shardlake, #1);eng;4.08;22863;27657;1973
4114;Lisi Harrison;The Clique (The Clique, #1);en-GB;3.6;27783;28457;2359
4115;Elizabeth Kolbert;The Sixth Extinction: An Unnatural History;eng;4.09;21113;24757;3053
4116;Ben Fountain;Billy Lynn's Long Halftime Walk;eng;3.81;20778;24324;3185
4117;Daniel H. Pink;A Whole New Mind: Why Right-Brainers Will Rule the Future;eng;3.95;20852;21946;1680
4118;Lian Hearn;Across the Nightingale Floor (Tales of the Otori, #1);eng;4.06;23597;28539;1649
4119;Stephen Hawking, Leonard Mlodinow;A Briefer History of Time;eng;4.19;19838;22637;888
4120;Richard Dawkins;The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design;eng;4.08;21141;23415;736
4121;Nora Roberts;Face the Fire (Three Sisters Island, #3);eng;4.15;27206;30556;691
4122;Ronald H. Balson;Once We Were Brothers;en-GB;4.28;13856;23169;2563
4123;Emily Bleeker, Dan John Miller;When I'm Gone;eng;3.94;33348;34469;1876
4124;Dean Koontz;Life Expectancy;eng;3.98;24584;26398;1578
4125;Cinda Williams Chima;The Dragon Heir (The Heir Chronicles, #3);eng;4.14;28845;29869;1067
4126;Ellen Hopkins;Fallout (Crank, #3);eng;4.29;25592;26362;1448
4127;Patricia Cornwell;Black Notice (Kay Scarpetta, #10);en-US;3.85;27472;29549;559
4128;Emma Donoghue;The Wonder;eng;3.65;26981;32092;4614
4129;Alison Weir;Innocent Traitor;eng;3.94;24976;26722;1589
4130;John Irving;The Fourth Hand;eng;3.3;23277;24814;968
4131;Dennis Lehane;Gone, Baby, Gone (Kenzie & Gennaro, #4);eng;4.14;23899;27150;1478
4132;Darren Shan;Tunnels of Blood (Cirque Du Freak, #3);;4.14;26287;28733;843
4133;Kristin Hannah;On Mystic Lake;eng;3.95;23050;25050;1413
4134;Iris Johansen;The Killing Game (Eve Duncan, #2);eng;4.18;24790;25473;408
4135;Michelle Hodkin;The Retribution of Mara Dyer (Mara Dyer, #3);eng;4.14;35910;38229;5714
4136;Rachael Ray;Rachael Ray 365: No Repeats: A Year of Deliciously Different Dinners;;3.68;21573;21631;146
4137;Augusten Burroughs;A Wolf at the Table;eng;3.7;22175;23524;1876
4138;Orson Scott Card;Seventh Son (Tales of Alvin Maker, #1);eng;3.86;26621;29331;1283
4139;Michael Chabon;The Mysteries of Pittsburgh;eng;3.63;19778;22220;1661
4140;James L. Swanson;Manhunt: The 12-Day Chase for Lincoln's Killer;en-US;4.12;21927;23262;1993
4141;Cecelia Ahern;The Book of Tomorrow;eng;3.66;24885;28726;2541
4142;Ally Carter;Uncommon Criminals (Heist Society, #2);;4.15;35104;36383;2180
4143;Kasie West;On the Fence;eng;4.04;30934;32599;3716
4144;Mark  Edwards;Follow You Home;en-CA;3.86;15871;28787;2071
4145;Jerry Spinelli;Love, Stargirl (Stargirl, #2);;3.8;30515;32275;2796
4146;Michelle Moran;Nefertiti;en-US;4.07;24959;27885;2234
4147;David McRaney;You Are Not So Smart: Why You Have Too Many Friends on Facebook, Why Your Memory Is Mostly Fiction, and 46 Other Ways You're Deluding Yourself;en-US;3.85;20583;22226;1402
4148;Sara Donati;Into the Wilderness (Wilderness, #1);eng;4.1;25293;27851;1751
4149;Aeschylus, Robert Fagles, William Bedell Stanford;The Oresteia  (ÎŸÏÎ­ÏƒÏ„ÎµÎ¹Î±, #1-3);eng;3.99;24588;28162;705
4150;Louise Penny;How the Light Gets In (Chief Inspector Armand Gamache, #9);eng;4.41;24325;28475;3475
4151;John Piper;Don't Waste Your Life;;4.11;20095;20722;597
4152;Ildefonso Falcones;La catedral del mar;spa;4.05;18906;25313;1387
4153;Alison Weir;The Life of Elizabeth I;en-US;4.05;23628;24636;586
4154;The Church of Jesus Christ of Latter-day Saints;Book of Mormon, Doctrine and Covenants, Pearl of Great Price;;4.36;21692;23176;677
4155;Jon Stewart, Rory Albanese, Kevin Bleyer, Rich Bloomquist, Steve Bodow, Tim Carvell, Wyatt Cenac, Hallie Haglund, J.R. Havlan, David Javerbaum, Elliott Kalan, Josh Lieb, Sam Means, Jo Miller, John Oliver, Daniel Radosh, Jason Ross;Earth (The Book): A Visitor's Guide to the Human Race;eng;3.91;23240;24039;1092
4156;Rachel Vincent;My Soul to Take (Soul Screamers, #1);eng;3.88;35680;37630;2547
4157;Neale Donald Walsch;Conversations With God: An Uncommon Dialogue, Book 2;eng;4.1;19444;20073;226
4158;Brodi Ashton;Everneath (Everneath, #1);en-US;3.76;36153;38028;4343
4159;Janet Evanovich;Plum Spooky (Stephanie Plum, #14.5);eng;3.77;32890;36564;2097
4160;Paulo Coelho;Warrior of the Light;en-US;3.69;19063;22985;1101
4161;G. Norman Lippert;James Potter and the Hall of Elders' Crossing (James Potter, #1);eng;3.78;21310;21423;2457
4162;Jon Krakauer;Where Men Win Glory: The Odyssey of Pat Tillman;en-US;4.03;21302;23444;2574
4163;Brother Andrew, Elizabeth Sherrill, John Sherrill;God's Smuggler;eng;4.32;22970;23589;603
4164;J. Courtney Sullivan;Maine;;3.34;23979;26907;3821
4165;Kasie West;The Fill-In Boyfriend;eng;3.92;31656;33366;4302
4166;Meg Rosoff;How I Live Now;eng;3.58;28896;33294;4131
4167;Garth Nix;Mister Monday (The Keys to the Kingdom, #1);eng;3.77;28430;30722;1314
4168;Heather Gudenkauf;These Things Hidden;;3.85;27030;28962;3006
4169;Dawn J. Ranck, Phyllis Pellman Good;Fix-It and Forget-It Cookbook: Feasting with Your Slow Cooker;;3.85;22697;22857;114
4170;Lili St. Crow, Lilith Saintcrow;Strange Angels (Strange Angels, #1);eng;3.78;35169;36155;2089
4171;Malika Oufkir, MichÃ¨le Fitoussi;Stolen Lives: Twenty Years in a Desert Jail;eng;4.08;16134;23437;2655
4172;Nora Roberts;Black Hills;en-US;4.08;26676;28922;1316
4173;Mark Millar, Steve McNiven, Dexter Vines, Morry Hollowell;Civil War: A Marvel Comics Event;eng;4.05;23851;26638;1502
4174;Kim Carpenter, John R. Perry, Krickitt Carpenter;The Vow: The Kim & Krickitt Carpenter Story;eng;3.77;16705;23043;1817
4175;Robert A. Heinlein;The Puppet Masters;eng;3.86;24641;26134;511
4176;Megan Miranda;All the Missing Girls;eng;3.79;36522;42454;4825
4177;Mercer Mayer;Just Go to Bed;en-US;4.22;24452;24471;145
4178;Maria Semple;Today Will Be Different;;3.19;26774;31086;4530
4179;CLAMP, William Flanagan;xxxHolic, Vol. 1 (xxxHOLiC, #1);en-US;4.17;23323;23465;278
4180;Harry Allard, James  Marshall;Miss Nelson Is Back (Miss Nelson, #2);en-US;4.33;26289;26370;171
4181;Kim Stanley Robinson;Green Mars (Mars Trilogy, #2);en-GB;3.91;24627;26338;654
4182;Tad Williams;To Green Angel Tower (Memory, Sorrow, and Thorn, #3);eng;4.16;25997;26466;237
4183;Oscar Wilde, Inga Moore;The Canterville Ghost;eng;3.89;22152;29341;1528
4184;Bryan Lee O'Malley, Nathan Fairbairn;Seconds;eng;4.07;20595;27672;2852
4185;Tijan;Fallen Crest High (Fallen Crest High, #1);en-GB;4.13;37150;37807;2472
4186;JenÅ‘ Barcsay;Anatomy for the Artist;;3.97;21640;21688;24
4187;John Saul;Suffer the Children;en-US;3.9;24533;24798;268
4188;Karen Cushman;Catherine, Called Birdy;eng;3.7;31185;33034;1330
4189;Jean Sasson;Princess: A True Story of Life Behind the Veil in Saudi Arabia;en-US;4.0;20019;24097;2219
4190;Terry Brooks;Magic Kingdom For Sale/Sold (Magic Kingdom of Landover, #1);eng;3.86;26995;29793;933
4191;Joseph Murphy, Ian McMahan;The Power of Your Subconscious Mind;en-US;4.12;16951;22359;1054
4192;Anne Rice;Blood And Gold (The Vampire Chronicles, #8);en-US;3.88;25780;28635;565
4193;Rae Carson;The Crown of Embers (Fire and Thorns, #2);eng;4.2;32885;35272;2864
4194;Tamora Pierce;Page (Protector of the Small, #2);eng;4.22;33405;36330;591
4195;Kiera Cass;The Guard (The Selection, #2.5);eng;3.75;32401;34837;2017
4196;Esther Forbes, Lynd Ward;Johnny Tremain;en-US;3.62;30157;32906;1862
4197;Ernesto Che Guevara, Aleida Guevara March;The Motorcycle Diaries: Notes on a Latin American Journey;eng;3.79;18964;23023;1265
4198;Kristen Proby;Fight with Me (With Me in Seattle, #2);eng;4.25;39673;39909;1741
4199;Ted Dekker;Black: The Birth of Evil (The Circle, #1);eng;4.21;23496;25018;1530
4200;N.K. Jemisin;The Hundred Thousand Kingdoms (Inheritance Trilogy, #1);eng;3.8;28989;32505;3710
4201;Peggy Rathmann;Officer Buckle & Gloria;eng;4.16;24578;25331;1373
4202;Roberto BolaÃ±o, Natasha Wimmer;The Savage Detectives;en-US;4.09;17946;23550;2575
4203;Gena Showalter;Alice in Zombieland (White Rabbit Chronicles, #1);eng;4.05;30537;33340;4689
4204;Aprilynne Pike;Spells (Wings, #2);en-US;3.99;34331;36223;1924
4205;Stefan Zweig, Joel Rotenberg, Hans Hausmann, Dirk Muller, Peter Gay, Willy Trenk-Trebitsch, Mario Adorf, Gert Westphal;Chess Story;eng;4.28;16716;31061;1907
4206;Justine Korman Fontes, Don Williams, Walt Disney Company;The Lion King: A little Golden Book;;4.46;23098;23102;80
4207;Gordon Korman;The Medusa Plot (39 Clues: Cahills vs. Vespers, #1);eng;4.07;24489;25090;566
4208;Jeanne Birdsall;The Penderwicks: A Summer Tale of Four Sisters, Two Rabbits, and a Very Interesting Boy (The Penderwicks #1);eng;4.12;32251;33898;3757
4209;Nelson DeMille;The Lion (John Corey, #5);en-US;4.22;21564;23628;1051
4210;Karen Marie Moning;Kiss of the Highlander (Highlander, #4);eng;4.31;32793;34840;1423
4211;Sally Bedell Smith;Elizabeth the Queen: The Life of a Modern Monarch;eng;3.85;20063;20705;933
4212;Jo NesbÃ¸, Charlotte Barslund;The Son;eng;4.07;19393;25476;2270
4213;John Layman, Rob Guillory;Chew, Vol. 1: Taster's Choice;eng;4.0;27570;27899;1690
4214;Linda Sue Park;A Single Shard;eng;3.87;27345;28532;2059
4215;Margaret Weis, Tracy Hickman;Time of the Twins (Dragonlance: Legends, #1);eng;4.13;24671;27264;313
4216;Christopher Moore;SacrÃ© Bleu: A Comedy d'Art;en-CA;3.77;22559;25721;3234
4217;Arkady Strugatsky, Boris Strugatsky, Antonina W. Bouis, Antonina W. Bouis, Theodore Sturgeon;Roadside Picnic;eng;4.21;17689;25233;1518
4218;Meg Cabot;Queen of Babble Gets Hitched (Queen of Babble, #3);en-US;3.82;28734;29529;841
4219;Elizabeth Gaskell;Cranford;eng;3.85;25805;29034;1710
4220;Don DeLillo;Underworld;eng;3.92;19152;22303;1583
4221;Jack Kerouac, Aram Saroyan;Big Sur;eng;3.86;21875;23218;865
4222;P.G. Wodehouse;My Man Jeeves (Jeeves, #1);eng;4.13;23020;26687;1423
4223;Melissa Marr;Radiant Shadows (Wicked Lovely, #4);en-US;3.97;33385;34440;1338
4224;Kristen Ashley;Motorcycle Man (Dream Man, #4);eng;4.43;41818;45509;3213
4225;Amanda Palmer;;;;;;
4226;Veronica Rossi;Into the Still Blue (Under the Never Sky, #3);eng;4.17;33983;37218;3532
4227;Ann Brashares;The Last Summer (of You and Me);en-US;3.58;26094;27849;2427
4228;Garth Ennis, Steve Dillon;Preacher, Volume 2: Until the End of the World;eng;4.28;24086;24603;423
4229;Chris   Smith, Christopher Lee, Richard Taylor;The Lord of the Rings: Weapons and Warfare;eng;4.53;18788;18911;49
4230;D.J. MacHale;The Lost City of Faar (Pendragon, #2);eng;4.16;25401;26256;605
4231;Elizabeth  George;A Great Deliverance (Inspector Lynley, #1);en-US;4.06;28027;30202;1248
4232;Arturo PÃ©rez-Reverte, Sonia Soto;The Club Dumas;eng;3.82;24090;27793;1541
4233;Shannon Hale;Enna Burning (The Books of Bayern, #2);eng;3.97;31710;33826;3375
4234;Meg Cabot;Twilight (The Mediator, #6);eng;4.26;32489;34286;979
4235;Ø£Ø­Ù…Ø¯ Ù…Ø±Ø§Ø¯;1919;ara;3.65;17330;17334;2421
4236;Beverly Cleary, Paul O. Zelinsky;Dear Mr. Henshaw (Leigh Botts, #1);eng;3.7;28979;29801;1248
4237;Ann Patchett;The Magician's Assistant;eng;3.64;21507;26220;2720
4238;Douglas Coupland;Generation X: Tales for an Accelerated Culture;eng;3.73;20030;22904;942
4239;Viet Thanh Nguyen;The Sympathizer;eng;4.0;20972;28424;3889
4240;Agatha Christie;Evil Under the Sun (Hercule Poirot, #23);eng;3.94;28776;32094;954
4241;Joanna Wylde;Reaper's Property (Reapers MC, #1);eng;4.13;38499;46663;3336
4242;Mary O'Hara, Dave Blossom;My Friend Flicka (Flicka, #1);en-US;4.15;25180;25768;290
4243;Philippa Gregory, Mirjana Valent;The Kingmaker's Daughter (The Plantagenet and Tudor Novels, #4);eng;3.95;24258;28940;2427
4244;Henrik Ibsen, William Archer;Hedda Gabler;eng;3.79;24567;26117;456
4245;Walt Disney Company;Dumbo: A Little Golden Book;;4.29;23338;23750;61
4246;Erika Johansen;The Invasion of the Tearling (The Queen of the Tearling, #2);eng;4.15;24341;29344;3535
4247;Jo NesbÃ¸, Don Bartlett;Phantom (Harry Hole, #9);;4.11;19526;25682;1993
4248;P.C. Cast, Kristin Cast;Marked / Betrayed / Chosen / Untamed / Hunted (House of Night #1-5);eng;4.43;20578;20578;77
4249;Cecelia Ahern;A Place Called Here;eng;3.66;22074;26438;1616
4250;W. Somerset Maugham;The Painted Veil;eng;3.9;24113;27630;2710
4251;Anne Rice;Blackwood Farm (The Vampire Chronicles, #9);eng;3.85;24567;27159;625
4252;Caroline Myss;Anatomy of the Spirit: The Seven Stages of Power and Healing;en-US;4.12;20720;21395;477
4253;Alexander McCall Smith;The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency, #4);eng;3.99;26837;30378;1265
4254;Beatriz Williams;A Hundred Summers;eng;3.9;22006;24680;2502
4255;Sabaa Tahir;A Torch Against the Night (An Ember in the Ashes, #2);eng;4.34;30535;35094;5543
4256;Gary D. Schmidt;The Wednesday Wars;eng;4.06;26847;28812;4870
4257;R.A. Salvatore;The Legacy (Forgotten Realms: Legacy of the Drow, #1;;;;;
4258;Judy Schachner;Skippyjon Jones;eng;4.25;26421;27420;1103
4259;Nora Roberts;Chasing Fire;eng;4.09;26687;29133;1707
4260;Brian Tracy;Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time;en-US;3.84;18288;23687;1906
4261;Sandra Boynton;Moo, Baa, La La La!;eng;4.19;26065;27425;500
4262;Wallace D. Wattles;The Science of Getting Rich;eng;4.18;19433;20746;544
4263;James Rollins;The Last Oracle (Sigma Force, #5);eng;4.15;23103;24815;746
4264;Ø£Ø­Ù„Ø§Ù… Ù…Ø³ØªØºØ§Ù†Ù…ÙŠ, Ahlam Mosteghanemi;Ø°Ø§ÙƒØ±Ø© Ø§Ù„Ø¬Ø³Ø¯;ara;3.87;17717;20432;1794
4265;A. Manette Ansay;Vinegar Hill;en-US;3.36;23966;24802;901
4266;David Brin;Startide Rising (The Uplift Saga, #2);en-US;4.04;24179;25142;485
4267;Shelly Crane;Significance (Significance, #1);eng;4.13;18579;37825;2685
4268;Robert   Harris;Pompeii;eng;3.79;22734;26679;1800
4269;David Baldacci;The Guilty (Will Robie, #4);eng;4.12;12597;24893;1824
4270;Bertrand Russell;A History of Western Philosophy;en-US;4.05;20895;22493;686
4271;Lewis Carroll;The Complete Stories and Poems;;4.34;23390;23417;30
4272;Nigella Lawson;How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking;;4.0;22647;23164;276
4273;Thomas Malory, Keith Baines, Robert Graves;Le Morte d'Arthur: King Arthur and the Legends of the Round Table;eng;3.92;25879;29697;671
4274;Cupcake Brown;A Piece of Cake;eng;4.15;20083;21149;1916
4275;Lloyd Alexander;Taran Wanderer (The Chronicles of Prydain #4);eng;4.14;29544;30932;781
4276;Douglas Preston, Lincoln Child;Brimstone (Pendergast, #5;;;;;
4277;Kate Douglas Wiggin;Rebecca of Sunnybrook Farm;;3.85;27831;29414;529
4278;Lisa Kleypas;Devil in Winter (Wallflowers, #3);en-US;4.26;38100;41949;2570
4279;Susan Beth Pfeffer;The Dead and the Gone (Last Survivors, #2);en-US;3.84;28910;31088;2987
4280;Ted Dekker;White: The Great Pursuit (The Circle, #3);;4.3;23201;23972;597
4281;Gena Showalter;The Darkest Passion (Lords of the Underworld #5);eng;4.37;32610;34290;1155
4282;Chuck Palahniuk;Pygmy;eng;2.96;21242;22865;1782
4283;Lauren Weisberger;Revenge Wears Prada: The Devil Returns (The Devil Wears Prada, #2);en-US;2.84;19210;24526;3352
4284;Anton Chekhov, Richard Pevear, Larissa Volokhonsky;Selected Stories;eng;4.36;23027;24546;489
4285;S.C. Gwynne;Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History;;4.13;19423;22381;2472
4286;John le CarrÃ©;Smiley's People;;4.24;22691;25028;599
4287;Karen Kingsbury, Gary Smalley;Redemption (Redemption, #1);eng;4.36;22101;22889;811
4288;Jennifer Donnelly;A Northern Light;en-US;3.83;29018;32172;3111
4289;Tim LaHaye, Jerry B. Jenkins;Apollyon (Left Behind, #5);en-US;3.97;23202;24979;379
4290;Dorothy L. Sayers;Whose Body?  (Lord Peter Wimsey, #1);eng;3.91;28214;31112;1609
4291;Robert Sabuda, Lewis Carroll;Alice's Adventures in Wonderland: A Pop-Up Adaptation;en-US;4.33;21160;21388;100
4292;Ross King;Michelangelo and the Pope's Ceiling;eng;3.82;20718;21258;560
4293;Kelley Armstrong;Stolen (Women of the Otherworld, #2);eng;4.16;34373;37977;1393
4294;David Baldacci;Hour Game (Sean King & Michelle Maxwell, #2);en-US;3.94;23124;27822;1289
4295;Louise Penny;The Cruelest Month (Chief Inspector Armand Gamache, #3);en-GB;4.15;23121;28932;2415
4296;Noel Streatfeild, Diane Goode;Ballet Shoes (Shoes, #1);en-US;4.06;26211;28208;1036
4297;Harry Gregson-Williams;Piano/Vocal/Guitar Sheet Music: The Chronicles of Narnia: The Lion, the Witch and The Wardrobe;;4.32;17866;17876;187
4298;Ayn Rand, Leonard Peikoff;We the Living;eng;3.89;20994;22571;1178
4299;Marie Rutkoski;The Winner's Crime (The Winner's Trilogy, #2);eng;4.17;31721;37404;5847
4300;Carolyn Brown;The Ladies' Room;eng;3.9;25204;26003;1741
4301;E.E. Cummings;100 Selected Poems;en-US;4.32;22346;22638;387
4302;Jen Lancaster;Such a Pretty Fat: One Narcissist's Quest to Discover If Her Life Makes Her Ass Look Big, or Why Pie Is Not the Answer;eng;4.06;24631;25044;1920
4303;Erin Hunter;Forest of Secrets (Warriors, #3);eng;4.4;28913;30595;1038
4304;Sarah Waters;The Little Stranger;en-US;3.51;21077;28814;4267
4305;Patricia Briggs;Night Broken (Mercy Thompson, #8);eng;4.42;31278;38475;3129
4306;Sara Raasch;Snow Like Ashes (Snow Like Ashes, #1);eng;3.98;34993;38315;5410
4307;Matthew  Thomas;We Are Not Ourselves;eng;3.7;18488;22138;3366
4308;Nora Roberts;Red Lily (In the Garden, #3);en-US;4.07;29200;30746;747
4309;Mary Pipher;Reviving Ophelia: Saving the Selves of Adolescent Girls;;3.86;22687;23408;1065
4310;Bernard Cornwell;Lords of the North (The Saxon Stories, #3);en-US;4.32;20296;24501;811
4311;Margaret Peterson Haddix;Just Ella (The Palace Chronicles, #1);eng;3.75;27884;31083;1439
4312;Raine Miller;Eyes Wide Open (The Blackstone Affair, #3);eng;4.14;36054;36780;1832
4313;Lisa See;China Dolls;eng;3.58;20563;23836;2860
4314;Kate Brian;Megan Meade's Guide to the McGowan Boys;en-US;3.93;29726;30877;1362
4315;Russell Hoban, Lillian Hoban;Bread and Jam for Frances;eng;4.2;27933;28308;382
4316;Tom Robbins;Half Asleep in Frog Pajamas;;3.73;17053;18899;645
4317;Gregory Maguire;Mirror Mirror;eng;3.27;26307;27358;1529
4318;Patrick Ness;More Than This;eng;4.03;21512;30720;5247
4319;Cormac McCarthy;Child of God;;3.86;20313;22643;1942
4320;Francine Rivers;As Sure as the Dawn (Mark of the Lion, #3);eng;4.39;23509;24330;920
4321;Max Barry;Lexicon;eng;3.9;20524;24296;3520
4322;Candace Bushnell, Donna Murphy;One Fifth Avenue;;3.33;20962;23010;1453
4323;Cece Bell, David Lasky;El Deafo;eng;4.13;27630;29262;3677
4324;Samantha Young;Down London Road (On Dublin Street, #2);eng;4.24;38186;41573;2935
4325;Robert Kirkman, Charlie Adlard;The Walking Dead, Vol. 03: Safety Behind Bars;eng;4.31;23167;25864;1033
4326;Philip K. Dick;Flow My Tears, the Policeman Said;eng;3.93;22063;25396;1187
4327;Francine Rivers;The Last Sin Eater;;4.06;20985;21982;840
4328;Jude Deveraux;A Knight in Shining Armor;eng;4.23;26636;29062;1886
4329;Jonathan Maberry;Rot & Ruin (Rot & Ruin, #1);eng;4.1;25526;28111;3291
4330;Plato, G.M.A. Grube, John M. Cooper;The Trial and Death of Socrates;en-US;4.06;21829;22697;319
4331;Charles R. Cross;Heavier Than Heaven: A Biography of Kurt Cobain;;4.09;18496;20221;777
4332;Thucydides, Rex Warner, Moses I. Finley;History of the Peloponnesian War;en-US;3.87;21500;24453;584
4333;Stephen Crane, George Stade, Richard Fusco;The Red Badge of Courage and Selected Short Fiction  ;en-US;3.64;25090;25251;72
4334;Richard Kadrey;Sandman Slim (Sandman Slim, #1);en-US;3.93;22779;26856;2441
4335;John Hart;The Last Child;en-US;4.09;22293;25587;3369
4336;Jorge Luis Borges, Donald A. Yates, James E. Irby, AndrÃ© Maurois;Labyrinths:  Selected Stories and Other Writings;eng;4.46;20237;23212;1062
4337;Anita Shreve;Fortune's Rocks;;3.86;22908;25221;1246
4338;Patricia Highsmith;The Price of Salt;eng;3.93;16348;26100;2522
4339;Colleen Houck;Tiger's Quest (The Tiger Saga, #2);en-US;4.34;28303;31309;2691
4340;Chloe Neill;Friday Night Bites (Chicagoland Vampires, #2);en-US;4.15;36503;39024;1543
4341;Tim Harford;The Undercover Economist;;3.79;17310;20348;975
4342;Frank E. Peretti;The Oath;eng;4.06;21092;22718;766
4343;Anna Godbersen;Rumors (Luxe, #2);en-US;3.85;31018;33468;1772
4344;Drew Daywalt, Oliver Jeffers;The Day the Crayons Quit;eng;4.41;29759;30648;3189
4345;Meg Cabot;Princess in Waiting (The Princess Diaries, #4);eng;3.66;33327;36292;844
